latitude,longitude,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
1.28362,103.84552,52,1.03,12,355
1.28378,103.8431,1,0.03,1,282
1.28216,103.84714,17,0.27,1,365
1.31562,103.88586,41,0.66,67,26
1.29508,103.84085,2,0.03,1,0
1.34948,103.96321,10,0.16,1,362
1.37398,103.83069,43,0.7,3,355
1.31228,103.89521,22,0.35,203,352
1.29499,103.83852,154,2.99,48,266
1.29783,103.83936,179,2.87,48,288
1.3736,103.87644,118,2.67,1,338
1.28318,103.84335,137,2.25,13,359
1.28458,103.84298,80,1.3,13,46
1.36719,103.89234,2,0.04,2,89
1.28955,103.83861,18,0.29,1,0
1.3319,103.76533,41,0.69,1,25
1.28496,103.84318,192,3.1,13,46
1.28439,103.84308,177,2.86,13,46
1.2852,103.84216,1,0.32,112,361
1.31492,103.88801,40,0.66,67,134
1.28262,103.84487,18,0.3,13,365
1.28354,103.84331,48,0.82,13,168
1.3155,103.88596,59,0.96,67,86
1.29533,103.83797,220,3.66,48,260
1.29798,103.7668,3,0.06,1,0
1.31379,103.88577,25,0.42,67,84
1.30376,103.85923,20,0.44,7,233
1.30171,103.85959,6,0.1,7,233
1.29597,103.8382,63,1.03,48,337
1.32986,103.81297,26,0.53,3,90
1.32045,103.82116,61,1.01,3,36
1.31586,103.88559,78,1.28,67,10
1.31565,103.88576,61,1,67,77
1.3125,103.89761,75,1.25,1,163
1.3471,103.77532,53,0.88,1,138
1.37478,103.83141,26,0.43,3,360
1.37326,103.82962,18,0.3,3,358
1.29002,103.82315,5,0.09,1,0
1.30459,103.82464,1,0.13,2,361
1.30176,103.85217,77,2.2,3,74
1.34518,103.86094,77,1.27,3,56
1.30148,103.85813,28,0.47,7,233
1.37318,103.90152,5,0.08,1,363
1.31808,103.90582,1,0.02,1,362
1.31944,103.86222,47,0.78,203,262
1.31464,103.88672,73,1.22,67,141
1.3137,103.88765,40,0.68,67,4
1.30348,103.85969,10,0.2,7,233
1.33856,103.73562,34,0.92,1,329
1.31633,103.88539,49,0.83,67,64
1.31288,103.85969,21,0.66,20,358
1.31157,103.8598,189,5.63,20,343
1.32772,103.85239,32,0.54,203,275
1.31995,103.79426,8,0.2,1,69
1.31444,103.88709,41,0.79,67,123
1.31539,103.82586,29,0.48,19,362
1.31131,103.88343,47,0.8,37,346
1.31372,103.88716,72,1.37,67,69
1.28278,103.8445,44,0.77,13,363
1.28332,103.8433,18,0.31,13,365
1.31718,103.84287,13,0.22,2,355
1.27254,103.8337,188,3.16,1,324
1.29312,103.82979,289,4.9,1,231
1.31409,103.87213,98,1.64,7,351
1.34546,103.72309,4,0.07,15,365
1.32419,103.85284,26,0.44,203,261
1.31566,103.82666,48,0.81,19,348
1.29671,103.83999,100,1.71,48,336
1.33678,103.73758,10,0.17,15,348
1.33669,103.7374,14,0.33,15,348
1.30789,103.89646,4,0.07,1,0
1.34702,103.72274,3,0.05,15,365
1.34615,103.72261,1,0.02,15,365
1.31503,103.88605,55,0.95,67,69
1.29377,103.82844,170,3.05,1,0
1.32712,103.86468,36,0.63,1,340
1.27303,103.82783,1,0.05,1,0
1.31025,103.88326,109,1.86,37,333
1.31107,103.88292,102,1.73,37,346
1.31045,103.88114,187,3.2,37,324
1.30475,103.84032,6,0.11,18,364
1.27522,103.84696,148,2.59,14,287
1.31467,103.93974,35,0.6,1,349
1.28142,103.84522,2,0.04,1,0
1.32546,103.8519,28,0.49,203,257
1.31473,103.88733,33,0.62,67,49
1.29775,103.88341,4,0.07,1,209
1.34432,103.86255,42,0.73,3,267
1.31652,103.82739,15,0.26,19,329
1.3448,103.86144,42,0.72,3,40
1.32899,103.94787,39,0.67,13,78
1.38785,103.8694,9,0.16,1,88
1.29561,103.8543,40,0.69,40,358
1.31017,103.88253,49,0.85,37,304
1.2843,103.83254,14,0.25,1,0
1.30706,103.86326,6,0.11,2,365
1.3218,103.84266,15,0.26,2,211
1.31528,103.88817,19,0.33,67,74
1.3258,103.85426,9,0.16,203,275
1.30211,103.85189,152,2.65,3,217
1.34151,103.84163,15,0.35,18,256
1.28895,103.85033,117,2.02,40,364
1.34713,103.77272,4,0.13,4,335
1.30972,103.88266,63,1.09,37,348
1.29702,103.84145,1,0.02,1,0
1.31368,103.88597,49,0.89,67,67
1.31316,103.88735,73,1.27,84,64
1.42798,103.78508,5,0.1,1,365
1.31161,103.88143,82,1.43,37,358
1.31387,103.93484,3,0.05,4,304
1.30489,103.78451,2,0.04,1,0
1.29238,103.83978,3,0.05,1,0
1.31307,103.88623,23,0.4,84,88
1.31464,103.88642,80,1.4,84,55
1.3145,103.88607,76,1.32,84,75
1.31102,103.88139,36,0.63,37,365
1.3096,103.88166,57,0.99,37,352
1.31045,103.88148,39,0.69,37,353
1.28175,103.84433,74,1.31,12,341
1.31761,103.8264,18,0.32,19,356
1.29882,103.76499,2,0.04,1,0
1.36573,103.83874,2,0.04,1,88
1.30008,103.79455,1,0.02,1,0
1.29704,103.8886,5,0.09,1,0
1.31217,103.91206,51,1.21,1,85
1.29929,103.84774,4,0.09,2,281
1.34294,103.71752,1,0.03,7,362
1.34147,103.71788,1,0.02,7,365
1.30479,103.83518,21,0.41,38,358
1.3311,103.76794,6,0.3,3,284
1.33108,103.76853,27,0.54,3,307
1.33179,103.7664,18,0.36,3,269
1.30352,103.83483,13,0.27,38,358
1.27414,103.84596,3,0.06,3,364
1.2851,103.84195,1,0.03,83,365
1.28614,103.8421,2,0.07,83,326
1.31481,103.88611,19,0.35,84,89
1.35418,103.8336,3,0.23,9,356
1.31114,103.88278,150,2.68,37,337
1.349,103.88105,6,0.17,7,365
1.28361,103.84276,168,2.99,2,126
1.29582,103.84221,6,0.12,84,50
1.2873,103.84894,85,1.56,40,363
1.31671,103.82831,18,0.33,19,0
1.31091,103.88131,63,1.12,37,342
1.3103,103.88191,35,0.63,37,350
1.29435,103.83551,1,0.02,1,0
1.30505,103.79822,3,0.08,1,365
1.31553,103.88662,62,1.17,84,34
1.31408,103.854,8,0.15,9,266
1.37043,103.83038,3,0.12,3,364
1.30147,103.84732,1,0.02,67,0
1.27546,103.84014,3,0.06,4,363
1.38088,103.75983,4,0.07,1,0
1.31403,103.84667,3,0.05,1,0
1.31977,103.85305,25,0.45,203,275
1.31326,103.85289,157,2.95,9,265
1.29611,103.82991,16,0.32,4,141
1.28257,103.83125,2,0.04,1,362
1.31153,103.88118,17,0.32,37,347
1.31105,103.88313,55,1,37,342
1.28095,103.84155,5,0.12,1,0
1.33043,103.94814,39,0.79,13,75
1.35376,103.83178,70,1.27,3,0
1.35332,103.82851,98,1.79,3,0
1.30634,103.84011,76,1.63,6,158
1.32873,103.94814,56,1.08,13,71
1.3284,103.94773,76,1.38,13,73
1.33027,103.94787,71,1.38,13,74
1.30163,103.84839,18,0.32,203,361
1.30877,103.90962,21,0.39,2,29
1.35426,103.82829,61,1.11,3,0
1.27599,103.8406,6,0.12,4,340
1.32669,103.84227,31,0.56,203,365
