latitude,longitude,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
1.29763,103.83921,12,0.26,1,358
1.30971,103.87093,73,1.52,37,314
1.31137,103.88129,80,1.68,37,346
1.31136,103.88151,58,1.22,37,356
1.31152,103.88109,11,0.23,37,354
1.31108,103.8833,6,0.13,37,365
1.30385,103.85095,6,0.15,14,357
1.31347,103.84091,9,0.2,1,70
1.30352,103.85056,70,1.54,14,349
1.30526,103.8495,8,0.17,14,339
1.30412,103.84905,7,0.15,14,358
1.3878,103.88783,24,0.52,1,0
1.30397,103.84928,11,0.25,14,350
1.31274,103.88659,173,3.61,16,194
1.30543,103.8403,71,1.78,6,137
1.30488,103.84002,69,1.54,6,115
1.34726,103.70083,1,0.02,1,365
1.31714,103.85011,2,0.04,1,0
1.29488,103.8392,32,0.67,84,78
1.30775,103.8622,1,0.03,112,360
1.35278,103.75727,55,1.16,1,209
1.31667,103.82595,31,0.66,19,327
1.37279,103.87369,14,0.3,1,0
1.30857,103.86234,1,0.02,112,344
1.34006,103.92719,13,0.29,2,253
1.31439,103.85852,3,0.07,1,0
1.29213,103.81734,2,0.04,6,0
1.32869,103.8474,10,0.21,141,365
1.27629,103.83692,26,0.59,1,0
1.28051,103.85327,32,0.68,1,361
1.28289,103.84728,33,0.69,12,360
1.2959,103.82972,6,0.13,26,101
1.31273,103.87559,111,2.33,6,141
1.31569,103.9067,1,0.03,8,331
1.3285,103.84524,17,0.37,141,365
1.32421,103.85337,84,1.76,67,265
1.32475,103.8522,6,0.14,203,364
1.37957,103.96301,2,0.04,3,365
1.31491,103.80578,4,0.09,1,0
1.28475,103.83289,42,0.89,5,364
1.32235,103.85286,6,0.24,114,257
1.32427,103.85103,6,0.13,203,365
1.28476,103.84589,6,0.16,9,363
1.28365,103.84637,15,0.34,9,360
1.31241,103.88686,1,0.06,1,148
1.28285,103.8445,34,0.74,9,364
1.2842,103.84444,19,0.41,9,356
1.30652,103.79449,8,0.17,1,128
1.38118,103.96262,1,0.03,3,364
1.28027,103.85072,9,0.2,8,360
1.28028,103.85331,10,0.21,8,360
1.28039,103.85233,19,0.51,8,360
1.31546,103.85508,16,0.4,13,278
1.38153,103.75944,21,0.53,3,0
1.31584,103.88199,166,3.6,2,73
1.29417,103.82827,14,0.33,2,365
1.30478,103.90485,1,1,1,84
1.31567,103.88186,16,0.37,2,45
1.3134,103.85402,1,0.02,1,0
1.3037,103.84988,1,0.02,1,0
1.31331,103.79929,2,0.04,1,0
1.27439,103.84714,18,0.42,10,0
1.38884,103.7705,18,0.39,2,149
1.29525,103.83722,2,0.04,1,0
1.30985,103.87271,36,0.79,11,355
1.31251,103.86023,38,0.81,17,365
1.31028,103.88633,6,0.13,1,0
1.27396,103.84523,53,1.19,10,351
1.2728,103.8448,129,2.81,10,0
1.27429,103.84519,25,0.56,10,365
1.27331,103.84422,9,0.21,10,0
1.28307,103.84395,1,0.18,5,275
1.31702,103.83964,3,0.07,1,0
1.28041,103.85241,5,0.11,6,93
1.32148,103.84106,8,0.18,8,365
1.28337,103.84369,6,0.24,84,64
1.30332,103.90058,60,1.31,7,162
1.29773,103.84347,11,0.25,1,0
1.28304,103.84294,1,0.02,83,356
1.35349,103.70204,36,0.78,2,131
1.35249,103.70206,1,0.04,2,0
1.30208,103.90206,37,0.83,7,179
1.31972,103.84736,1,0.25,1,0
1.30195,103.90241,107,2.39,7,158
1.32492,103.81175,8,0.21,1,239
1.28362,103.84604,113,2.43,9,96
1.41781,103.84287,13,0.28,1,358
1.4382,103.82685,22,1.09,7,364
1.42591,103.8495,1,0.12,1,177
1.31074,103.85964,39,0.97,20,349
1.31479,103.88787,66,1.66,84,72
1.29913,103.85316,50,1.11,14,303
1.3149,103.85021,34,0.75,17,365
1.33194,103.79488,2,0.04,1,0
1.3153,103.90333,1,0.02,1,0
1.28337,103.78359,1,0.03,1,0
1.34866,103.74683,27,0.61,3,54
1.3678,103.9022,2,0.04,1,0
1.33504,103.86762,5,0.12,141,365
1.30217,103.84695,21,0.46,1,239
1.31117,103.87361,25,0.58,11,357
1.3114,103.87215,4,0.11,11,365
1.31169,103.87275,15,0.35,11,365
1.31153,103.8723,5,0.12,11,361
1.31017,103.87394,1,0.03,11,365
1.30988,103.87346,2,0.08,11,365
1.31108,103.8741,6,0.14,11,361
1.34895,103.72199,28,0.62,1,299
1.2844,103.83487,6,0.16,26,331
1.31106,103.93683,80,1.8,1,345
1.31401,103.8588,26,0.56,11,365
1.29702,103.83046,1,0.02,1,0
1.31722,103.85069,12,0.27,1,0
1.27399,103.84339,1,0.02,1,0
1.2901,103.83917,2,0.04,1,0
1.31471,103.85904,9,0.21,11,358
1.31408,103.85868,4,0.1,11,365
1.31889,103.82685,2,0.06,5,239
1.29931,103.85063,5,0.11,1,0
1.31934,103.91466,1,0.02,24,322
1.32654,103.91291,5,0.11,1,0
1.3143,103.85881,44,0.98,11,358
1.37544,103.95919,31,0.68,1,364
1.31449,103.85896,8,0.17,11,365
1.34142,103.73525,163,3.66,2,315
1.32075,103.82223,16,0.37,3,36
1.29108,103.83077,4,0.09,1,0
1.44928,103.78434,20,0.44,2,35
1.31609,103.85444,80,2.51,13,148
1.35885,103.84418,13,0.29,2,0
1.33643,103.73771,11,0.26,15,365
1.37576,103.90349,19,0.42,1,270
1.33509,103.73676,2,0.07,15,348
1.30418,103.83449,202,4.67,1,235
1.31913,103.86103,120,2.72,2,130
1.27548,103.84517,7,0.17,1,0
1.31123,103.88521,3,0.07,1,0
1.35904,103.84735,24,0.52,2,0
1.28329,103.84251,185,4.13,7,258
1.27551,103.84515,2,0.04,13,0
1.27527,103.84562,1,0.02,13,0
1.27323,103.84563,11,0.25,13,0
1.35634,103.9675,4,0.09,1,0
1.29422,103.82911,28,0.62,1,71
1.42571,103.82591,23,0.52,2,359
1.31604,103.78136,88,1.96,8,314
1.31124,103.93764,1,0.02,1,0
1.30471,103.82582,61,1.38,1,364
1.30388,103.82985,2,0.05,1,0
1.40529,103.90132,2,0.23,1,354
1.32052,103.82246,7,0.18,1,0
1.28471,103.8436,172,3.79,7,340
1.29211,103.80713,6,0.14,13,0
1.29049,103.8066,7,0.16,13,0
1.32024,103.82049,24,0.58,3,39
1.34268,103.69931,1,0.02,1,0
1.348,103.92826,6,0.14,1,242
1.36644,103.87583,1,1,5,363
1.2882,103.7925,1,0.02,1,0
1.45051,103.81707,2,0.05,1,0
1.30366,103.85097,11,0.25,14,356
1.38077,103.75996,40,0.9,1,72
1.31693,103.85016,4,0.09,3,361
1.31636,103.8809,1,0.02,3,0
1.31153,103.85984,80,1.78,8,358
1.32066,103.85301,37,3.4,5,69
1.30364,103.83507,93,2.15,38,284
1.27861,103.85142,1,0.02,1,0
1.31169,103.86033,4,0.1,8,362
1.28294,103.84387,141,3.22,7,201
1.2924,103.80661,9,0.21,13,0
1.28337,103.82942,2,0.05,1,0
1.31374,103.80672,5,0.11,1,0
1.42999,103.78503,14,0.31,2,180
1.3134,103.87929,169,3.76,2,299
1.33708,103.93015,149,3.34,2,0
1.27655,103.84517,229,5.14,1,304
1.28025,103.82337,1,0.02,1,364
1.28206,103.85366,2,0.08,1,365
1.31854,103.84131,5,0.11,1,312
1.39029,103.76979,15,0.36,2,137
1.31408,103.88488,2,0.06,2,239
1.3129,103.86146,12,0.28,8,363
1.31132,103.86153,25,0.64,8,362
1.31284,103.86089,67,1.55,8,363
1.31232,103.86178,11,0.25,8,360
1.28271,103.84586,4,0.26,9,350
1.31292,103.85983,6,0.14,8,363
1.30655,103.90307,22,0.68,1,351
1.34444,103.87119,2,0.05,1,0
1.38993,103.88019,13,0.3,1,364
1.31168,103.88002,13,0.29,6,365
1.3108,103.85995,68,1.53,17,365
1.3384,103.86546,1,0.02,1,0
1.33668,103.93036,168,3.77,2,45
1.30723,103.7844,2,0.05,1,0
1.31103,103.88215,123,2.77,16,308
1.2866,103.85051,36,0.8,2,140
1.3109,103.86107,27,0.61,17,365
1.30368,103.83469,169,3.88,2,94
1.32071,103.90878,76,1.7,2,357
1.42562,103.82559,12,0.27,2,300
1.28816,103.80309,1,0.03,3,270
1.34142,103.95665,5,0.16,1,0
1.27532,103.84511,1,0.02,1,0
1.28331,103.84625,21,0.48,9,361
1.29907,103.88689,2,0.05,1,0
1.31451,103.84719,7,0.61,1,23
1.42479,103.84528,179,4,1,329
1.29805,103.83698,28,0.63,1,0
1.32852,103.856,1,0.02,1,0
1.29866,103.89037,2,0.05,1,364
1.28672,103.84831,39,0.87,2,269
1.28464,103.84629,97,2.17,1,165
1.31195,103.86113,14,0.31,17,365
1.31053,103.86147,24,0.54,17,365
1.31178,103.86169,7,0.16,17,365
1.31244,103.85954,80,1.84,17,357
1.31028,103.86029,25,0.57,17,363
1.30584,103.84986,11,0.27,141,243
1.33114,103.84369,6,0.14,141,262
1.31011,103.85956,26,0.59,17,364
1.3106,103.86112,66,1.53,17,354
1.31139,103.86002,5,0.13,17,365
1.31325,103.86168,51,1.18,17,321
1.31088,103.86117,52,1.17,17,365
1.31079,103.86171,25,0.56,17,364
1.29171,103.80779,17,0.38,13,0
1.30919,103.82702,2,0.05,1,0
1.2948,103.8388,46,1.02,28,350
1.30024,103.8529,35,0.97,14,332
1.32656,103.86275,53,1.19,2,0
1.35534,103.86679,4,0.18,14,344
1.35202,103.93542,33,0.75,1,312
1.35725,103.86766,11,0.25,203,365
1.30986,103.93345,39,1.39,1,277
1.30631,103.8481,1,0.11,114,365
1.32283,103.85234,5,0.41,114,338
1.29579,103.84014,40,0.91,48,344
1.36924,103.77507,1,0.02,3,0
1.30592,103.92515,24,0.56,4,325
1.32206,103.91345,25,0.6,4,43
1.40615,103.90041,25,0.79,4,321
1.31722,103.88754,59,1.35,2,3
1.28358,103.84438,51,1.18,1,313
1.3277,103.86511,16,0.38,203,365
1.31398,103.90491,3,0.12,1,363
1.29923,103.83098,3,0.07,1,0
1.28073,103.84085,76,1.72,2,69
1.29671,103.8404,150,3.42,48,310
1.36675,103.89587,49,1.12,1,358
1.28454,103.84391,2,0.09,83,361
1.34158,103.76907,39,0.93,1,121
1.30011,103.85396,28,0.95,14,345
1.32043,103.91154,150,3.5,2,303
1.31057,103.86081,6,0.14,16,351
1.30044,103.85173,82,1.89,14,313
1.2982,103.8523,76,1.9,14,349
1.3008,103.90074,2,0.05,1,0
1.2802,103.84055,103,2.37,9,123
1.31419,103.85089,160,3.67,1,189
1.35673,103.75164,2,0.06,1,0
1.32086,103.91439,5,0.13,3,0
1.32898,103.85352,7,0.17,141,365
1.39977,103.89763,184,4.66,1,197
1.3153,103.88809,36,0.82,84,74
1.29989,103.85063,14,0.34,18,343
1.28043,103.78286,39,0.9,1,365
1.29423,103.84141,11,0.26,1,0
1.24391,103.83915,2,0.1,2,0
1.3012,103.90481,172,3.98,1,313
1.35382,103.86784,28,0.64,1,0
1.31585,103.86002,4,0.11,11,340
1.29259,103.83056,9,0.21,1,0
1.33042,103.90565,31,0.72,1,312
1.28868,103.84704,31,0.73,1,0
1.35162,103.75881,3,0.07,2,263
1.29645,103.76807,2,0.13,3,365
1.3107,103.88178,1,0.02,2,0
1.29383,103.83964,225,5.21,2,308
1.31642,103.85734,1,0.02,1,0
1.30264,103.85127,121,2.85,8,179
1.32743,103.84259,3,0.07,1,0
1.33431,103.87554,296,6.96,2,288
1.29446,103.82572,17,0.45,5,362
1.34301,103.84112,1,0.04,1,0
1.32622,103.85443,1,0.03,203,330
1.32839,103.86485,7,0.17,203,365
1.32545,103.85311,3,0.08,203,365
1.33713,103.73697,5,0.13,15,348
1.29523,103.8904,135,3.17,3,85
1.33613,103.84406,8,0.2,1,365
1.35233,103.83761,22,0.54,4,352
1.35039,103.74221,11,0.27,3,175
1.3321,103.87535,66,1.69,1,348
1.29416,103.83654,103,2.41,2,28
1.32271,103.85316,25,1.5,23,39
1.32302,103.8531,50,1.37,23,55
1.32296,103.85204,61,1.46,23,81
1.32335,103.85289,33,0.79,23,40
1.33717,103.72371,19,0.46,2,322
1.4295,103.78663,13,0.31,1,363
1.32196,103.85325,20,0.64,23,41
1.30349,103.84881,5,0.12,14,358
1.32322,103.85158,21,0.51,23,43
1.31525,103.88744,29,0.83,67,75
